matchId,squadId,period,periodSeconds,distanceCode,positionCode,scoreName,scorePoints,matchSeconds,homeSquadScore,awaySquadScore,scoreDifferential,oppSquadId,matchType,roundNo,gameNo,compType,year,shotOutcome
111080101,Lightning,1,618,0,0,goal,1,618,11,6,5,807,regular,1,1,SSN,2020,True
111080101,Firebirds,1,644,1,1,2pt Goal,2,644,13,6,7,8117,regular,1,1,SSN,2020,True
111080101,Lightning,1,675,1,2,2pt Miss,0,675,13,6,7,807,regular,1,1,SSN,2020,False
111080101,Firebirds,1,691,1,1,2pt Goal,2,691,15,6,9,8117,regular,1,1,SSN,2020,True
111080101,Lightning,1,776,0,1,goal,1,776,15,7,8,807,regular,1,1,SSN,2020,True
111080101,Firebirds,1,824,0,0,goal,1,824,16,7,9,8117,regular,1,1,SSN,2020,True
111080101,Lightning,1,860,1,0,2pt Goal,2,860,16,9,7,807,regular,1,1,SSN,2020,True
111080101,Lightning,1,876,3,3,goal,1,876,16,10,6,807,regular,1,1,SSN,2020,True
111080101,Firebirds,1,896,1,2,2pt Goal,2,896,18,10,8,8117,regular,1,1,SSN,2020,True
111080101,Lightning,2,625,1,1,2pt Goal,2,1530,27,18,9,807,regular,1,1,SSN,2020,True
111080101,Lightning,2,682,0,1,goal,1,1587,27,19,8,807,regular,1,1,SSN,2020,True
111080101,Lightning,2,698,1,1,2pt Goal,2,1603,27,21,6,807,regular,1,1,SSN,2020,True
111080101,Firebirds,2,718,0,1,miss,0,1623,27,21,6,8117,regular,1,1,SSN,2020,False
111080101,Lightning,2,791,1,0,2pt Goal,2,1696,27,23,4,807,regular,1,1,SSN,2020,True
111080101,Lightning,2,812,0,2,goal,1,1717,27,24,3,807,regular,1,1,SSN,2020,True
111080101,Firebirds,2,826,1,0,2pt Goal,2,1731,29,24,5,8117,regular,1,1,SSN,2020,True
111080101,Lightning,2,858,1,1,2pt Goal,2,1763,29,26,3,807,regular,1,1,SSN,2020,True
111080101,Firebirds,2,879,0,0,goal,1,1784,30,26,4,8117,regular,1,1,SSN,2020,True
111080101,Lightning,2,896,1,1,2pt Goal,2,1801,30,28,2,807,regular,1,1,SSN,2020,True
111080101,Lightning,3,652,0,0,miss,0,2466,38,34,4,807,regular,1,1,SSN,2020,False
111080101,Lightning,3,657,0,0,goal,1,2471,38,35,3,807,regular,1,1,SSN,2020,True
111080101,Lightning,3,674,1,1,2pt Goal,2,2488,38,37,1,807,regular,1,1,SSN,2020,True
111080101,Firebirds,3,699,0,2,goal,1,2513,39,37,2,8117,regular,1,1,SSN,2020,True
111080101,Lightning,3,734,0,0,goal,1,2548,39,38,1,807,regular,1,1,SSN,2020,True
111080101,Firebirds,3,755,1,1,2pt Miss,0,2569,39,38,1,8117,regular,1,1,SSN,2020,False
111080101,Lightning,3,769,0,0,miss,0,2583,39,38,1,807,regular,1,1,SSN,2020,False
111080101,Lightning,3,772,0,2,goal,1,2586,39,39,0,807,regular,1,1,SSN,2020,True
111080101,Lightning,3,784,0,1,miss,0,2598,39,39,0,807,regular,1,1,SSN,2020,False
111080101,Lightning,3,794,3,1,goal,1,2608,39,40,-1,807,regular,1,1,SSN,2020,True
111080101,Firebirds,3,809,1,0,2pt Goal,2,2623,41,40,1,8117,regular,1,1,SSN,2020,True
111080101,Lightning,3,839,1,1,2pt Goal,2,2653,41,42,-1,807,regular,1,1,SSN,2020,True
111080101,Firebirds,3,865,1,2,2pt Miss,0,2679,41,42,-1,8117,regular,1,1,SSN,2020,False
111080101,Firebirds,3,878,3,1,goal,1,2692,42,42,0,8117,regular,1,1,SSN,2020,True
111080101,Lightning,3,903,0,0,miss,0,2717,42,42,0,807,regular,1,1,SSN,2020,False
111080101,Lightning,4,633,3,3,goal,1,3355,46,57,-11,807,regular,1,1,SSN,2020,True
111080101,Lightning,4,648,1,2,2pt Goal,2,3370,46,59,-13,807,regular,1,1,SSN,2020,True
111080101,Firebirds,4,663,1,1,2pt Goal,2,3385,48,59,-11,8117,regular,1,1,SSN,2020,True
111080101,Lightning,4,687,1,1,2pt Goal,2,3409,48,61,-13,807,regular,1,1,SSN,2020,True
111080101,Lightning,4,711,0,0,goal,1,3433,48,62,-14,807,regular,1,1,SSN,2020,True
111080101,Lightning,4,743,0,0,goal,1,3465,48,63,-15,807,regular,1,1,SSN,2020,True
111080101,Firebirds,4,769,1,1,2pt Miss,0,3491,48,63,-15,8117,regular,1,1,SSN,2020,False
111080101,Firebirds,4,795,1,0,2pt Miss,0,3517,48,63,-15,8117,regular,1,1,SSN,2020,False
