squadNickname,0%-10%,10%-20%,20%-30%,30%-40%,40%-50%,50%-60%,60%-70%,70%-80%,80%-90%,90%-100%,meanShots,minShots,maxShots
Fever,0.017,0.099,0.067,0.019,0.097,0.219,0.028,0.097,0.231,0.126,6.892,6,7
Firebirds,0.021,0.065,0.0,0.221,0.063,0.054,0.147,0.126,0.157,0.146,5.588,5,6
GIANTS,0.0,0.028,0.0,0.137,0.085,0.004,0.242,0.024,0.295,0.185,5.946,5,6
Lightning,0.005,0.03,0.045,0.032,0.084,0.166,0.07,0.115,0.285,0.168,6.78,6,7
Magpies,0.005,0.005,0.058,0.038,0.3,0.013,0.0,0.264,0.0,0.317,4.141,4,5
Swifts,0.004,0.043,0.055,0.043,0.096,0.156,0.077,0.081,0.288,0.157,6.713,6,7
Thunderbirds,0.014,0.04,0.0,0.28,0.018,0.096,0.04,0.29,0.035,0.187,5.162,5,6
Vixens,0.001,0.023,0.001,0.113,0.082,0.003,0.238,0.001,0.347,0.191,6.008,6,7
