squadNickname,actualProp
Fever,0.30670103092783507
Firebirds,0.41346153846153844
GIANTS,0.6355421686746988
Lightning,0.2394736842105263
Magpies,0.55
Swifts,0.44473684210526315
Thunderbirds,0.4828767123287671
Vixens,0.4
