team,period,mean,lower95,upper95
all,all,4.190421637325515,3.8770388517095022,4.518449719895074
all,standard,4.037382381258887,3.4989662169411124,4.598527515980255
all,super,4.676295649045661,4.074410489699369,5.349199535068099
Firebirds,all,3.3631611155373986,2.74704776677126,4.043873842822975
Firebirds,standard,2.293301420780925,0.520337690934703,4.57378742782762
Firebirds,super,3.2010087658258697,2.3977292864372663,4.189348111418929
Lightning,all,4.105799696051021,3.276886283898662,5.04021246917833
Lightning,standard,4.4349195598924345,3.243368164447526,5.778463491198343
Lightning,super,4.533071940066532,3.096657722757733,6.391253341036909
Thunderbirds,all,4.5934977166851905,3.6192040101001397,5.7337500737730185
Thunderbirds,standard,3.3709006336722553,2.0026475786717817,4.981965447709135
Thunderbirds,super,6.51375285474842,4.061060550884378,10.02368213085893
Fever,all,8.38181132874785,6.58115840292207,10.513849658129951
Fever,standard,9.598504906045955,6.718996498211829,12.82179622970136
Fever,super,11.475585408699212,6.977402701758398,18.11087950799347
GIANTS,all,3.387611666805772,2.777179480164614,4.084724875339574
GIANTS,standard,4.079982623803202,3.034086327450284,5.2310287269526645
GIANTS,super,4.35324035162594,2.7016412912112155,6.751167625346909
Swifts,all,4.506212863641571,3.5922771111646816,5.549970567120179
Swifts,standard,4.875348544980688,1.2866586140120484,8.684407015321327
Swifts,super,4.51083076503181,3.02927466322911,6.532725599286999
Vixens,all,4.520372205126496,3.4570797196083003,5.766374651633914
Vixens,standard,3.3683922753592035,1.4419002945964776,5.8153862093648785
Vixens,super,4.434029358547313,2.888014736433995,6.559771492983133
Magpies,all,3.3974833770756225,2.687508678008578,4.222844773757793
Magpies,standard,2.530025533603821,1.6894818477398006,3.516100096058798
Magpies,super,5.7519168650758115,3.4454124125645267,9.159345469220696
